old_filename	new_filename
topol_Protein_chain_0.itp	topol_chain00.itp
topol_Protein_chain_1.itp	topol_chain01.itp
topol_Protein_chain_2.itp	topol_chain02.itp
topol_Protein_chain_3.itp	topol_chain03.itp
topol_Protein_chain_4.itp	topol_chain04.itp
topol_Protein_chain_5.itp	topol_chain05.itp
topol_Protein_chain_6.itp	topol_chain06.itp
topol_Protein_chain_7.itp	topol_chain07.itp
topol_Protein_chain_8.itp	topol_chain08.itp
topol_Protein_chain_9.itp	topol_chain09.itp
topol_Protein_chain_A.itp	topol_chain10.itp
topol_Protein_chain_B.itp	topol_chain11.itp
topol_Protein_chain_C.itp	topol_chain12.itp
topol_Protein_chain_D.itp	topol_chain13.itp
topol_Protein_chain_E.itp	topol_chain14.itp
topol_Protein_chain_F.itp	topol_chain15.itp
topol_Protein_chain_G.itp	topol_chain16.itp
topol_Protein_chain_H.itp	topol_chain17.itp
topol_Protein_chain_I.itp	topol_chain18.itp
topol_Protein_chain_J.itp	topol_chain19.itp
topol_Protein_chain_K.itp	topol_chain20.itp
topol_Protein_chain_L.itp	topol_chain21.itp
topol_Protein_chain_M.itp	topol_chain22.itp
topol_Protein_chain_N.itp	topol_chain23.itp
topol_Protein_chain_O.itp	topol_chain24.itp
topol_Protein_chain_P.itp	topol_chain25.itp
topol_Protein_chain_Q.itp	topol_chain26.itp
topol_Protein_chain_R.itp	topol_chain27.itp
topol_Protein_chain_S.itp	topol_chain28.itp
topol_Protein_chain_T.itp	topol_chain29.itp
topol_Protein_chain_U.itp	topol_chain30.itp
topol_Protein_chain_V.itp	topol_chain31.itp
topol_Protein_chain_W.itp	topol_chain32.itp
topol_Protein_chain_X.itp	topol_chain33.itp
topol_Protein_chain_Y.itp	topol_chain34.itp
topol_Protein_chain_Z.itp	topol_chain35.itp
topol_Protein_chain_a.itp	topol_chain36.itp
topol_Protein_chain_b.itp	topol_chain37.itp
topol_Protein_chain_c.itp	topol_chain38.itp
topol_Protein_chain_d.itp	topol_chain39.itp
